code,rrp
HPQ5950A,256.33
HPQ5949X,217.21
HPQ5949A,118.73
HPQ5942A,215
HPQ2612AD,165.24
HPQ2612A,91.81
HPQ2078A,69.62
HPP2V94A,110.84
HPP2V93A,110.84
HPP2V92A,92.37
HPP2V91A,110.84
HPP2V90A,110.84
HPP2V89A,110.84
HPP2V86A,152.29
HPP2V85A,152.29
HPP2V84A,152.29
HPP2V83A,152.29
HPP2V82A,152.29
HPP2V81A,152.29
HPP2V80A,152.29
HPP2V79A,152.29
HPP2V78A,152.29
HPN9K08AE,30.3
HPN9K07AE,34.36
HPN9K06AE,14.21
HPN9K05AE,14.21
HPN9J73AE,54.96
HPN9J72AE,41.68
HPN9J71AE,41.23
HPM0K02AE,238.07
HPM0J98AE,259.7
HPM0J94AE,259.7
HPM0J90AE,259.7
HPL0S70AE,56.5
HPL0S58AE,35.34
HPL0S07AE,128.46
HPL0R95AE,83.68
HPL0R16A,176.62
HPL0R15A,228.93
HPL0R14A,228.93
HPL0R13A,228.93
HPL0R12A,115.11
HPL0R11A,156.98
HPL0R10A,156.98
HPL0R09A,156.98
HPJ3M71A,82
HPJ3M70A,119.84
HPJ3M69A,119.84
HPJ3M68A,119.84
HPF9K05A,172.54
HPF9K04A,172.54
HPF9K03A,172.54
HPF9K02A,172.54
HPF9K01A,172.54
HPF9J68A,199.4
HPF9J67A,103.5
HPF9J66A,103.5
HPF9J65A,103.5
HPF6U68AE,38.56
HPF6U67AE,37.55
HPF6U66AE,17.88
HPF6U65AE,21.99
HPF6U18AE,39.97
HPF6U17AE,39.97
HPF6U16AE,39.97
HPF6U14AE,24.86
HPF6U13A,24.86
HPF6U12AE,24.86
HPF6T83AE,121.87
HPF6T82AE,121.87
HPF6T81AE,121.87
HPF6T79AE,86.06
HPF6T78AE,86.06
HPF6T77AE,86.06
HPD8J10A,115.88
HPCZ136A,70.29
HPCZ135A,70.29
HPCZ134A,70.29
HPCZ133A,63.2
HPCZ132A,32.23
HPCZ131A,32.23
HPCZ130A,32.23
HPCZ129A,38.95
HPCN684EE,28.5
HPCN637EE,48.4
HPCN628A,118.26
HPCN627A,118.26
HPCN626A,118.26
HPCN625A,120.46
HPCN624AE,76.61
HPCN623AE,76.61
HPCN622AE,76.61
HPCN621AE,76.61
HPCN060AE,14.48
HPCN059AE,14.48
HPCN058AE,14.48
HPCN057AE,25.31
HPCN056AE,21.28
HPCN055AE,21.28
HPCN054AE,21.28
HPCN053AE,46.02
HPCN052AE,23.84
HPCN051AE,23.84
HPCN050AE,23.84
HPCN049A,34.01
HPCN048A,39.68
HPCN047A,39.68
HPCN046A,39.68
HPCN045A,54.18
HPCH564EE,41.33
HPCH563EE,42.45
HPCH562EE,24.22
HPCH561EE,19.67
HPCF543X,107.58
HPCF543A,80.7
HPCF542X,107.58
HPCF542A,80.7
HPCF541X,107.58
HPCF541A,80.7
HPCF540X,102.03
HPCF540A,68.47
HPCF533A,58.95
HPCF532A,58.95
HPCF531A,58.95
HPCF530A,53.82
HPCF463X,519.36
HPCF462X,519.36
HPCF461X,519.36
HPCF460X,368.06
HPCF453A,293.61
HPCF452A,293.61
HPCF451A,293.61
HPCF450A,236.38
HPCF440AM,389.54
HPCF413X,224.52
HPCF413A,129.85
HPCF412X,224.52
HPCF412A,129.85
HPCF411X,224.52
HPCF411A,129.85
HPCF410XD,301.9
HPCF410X,167.73
HPCF410A,100.56
HPCF403X,119.03
HPCF403A,94.25
HPCF402X,119.03
HPCF402A,94.25
HPCF401X,119.03
HPCF401A,94.25
HPCF400XD,193.16
HPCF400X,107.31
HPCF400A,79.9
HPCF383A,144.28
HPCF382A,144.28
HPCF381A,144.28
HPCF380X,130.75
HPCF380A,107.76
HPCF373AM,230.43
HPCF372AM,386.65
HPCF371AM,214.26
HPCF370AM,379.82
HPCF365A,299.36
HPCF364A,299.36
HPCF363X,350.77
HPCF363A,227.25
HPCF362X,350.77
HPCF362A,227.25
HPCF361X,350.77
HPCF361A,227.25
HPCF360X,253.37
HPCF360A,181.23
HPCF359A,299.36
HPCF358A,108.21
HPCF353A,68.35
HPCF352A,68.35
HPCF351A,68.35
HPCF350A,66.28
HPCF341A,181.38
HPCF333A,444.56
HPCF332A,444.56
HPCF331A,444.56
HPCF330X,318.75
HPCF325X,339.04
HPCF323A,394.06
HPCF322A,394.06
HPCF321A,394.06
HPCF320A,242.58
HPCF313A,599.65
HPCF312A,599.65
HPCF311A,599.65
HPCF310A,365.2
HPCF303A,554.55
HPCF302A,554.55
HPCF301A,554.55
HPCF300A,124.45
HPCF294X,92.5
HPCF294A,51.14
HPCF289Y,333.7
HPCF289X,247.02
HPCF289A,161.11
HPCF287XD,616.78
HPCF287X,342.66
HPCF287AS,159.84
HPCF287A,253.39
HPCF283X,93.77
HPCF283AD,135.7
HPCF283A,75.38
HPCF281X,332.74
HPCF281A,201.1
HPCF280XD,374.51
HPCF280X,208.07
HPCF280A,120.86
HPCF279A,64.6
HPCF259X,237.94
HPCF259A,113.61
HPCF253XM,321.4
HPCF252XM,606.23
HPCF244A,53.56
HPCF237Y,434.29
HPCF237X,314.06
HPCF237A,202.85
HPCF232A,98.77
HPCF230X,109.65
HPCF230A,73.44
HPCF226XD,417.14
HPCF226X,231.76
HPCF226A,135.25
HPCF219A,81.51
HPCF217A,72.35
HPCF214X,262.42
HPCF214A,238.07
HPCF213A,100.55
HPCF212A,100.55
HPCF211A,100.55
HPCF210X,101.91
HPCF210A,80.28
HPCF065A,392.57
HPCF032A,295.99
HPCF031A,295.99
HPCE743A,312.91
HPCE742A,312.91
HPCE741A,312.91
HPCE740A,177.65
HPCE506A,180.63
HPCE505X,191.52
HPCE505D,187.92
HPCE505A,104.38
HPCE413A,140.69
HPCE412A,140.69
HPCE411A,140.69
HPCE410XD,206.18
HPCE410X,121.28
HPCE410A,98.74
HPCE403A,260.62
HPCE402A,260.62
HPCE401A,260.62
HPCE400X,235.35
HPCE400A,174.94
HPCE390XD,610.3
HPCE390X,339.04
HPCE390A,202.87
HPCE343A,508.58
HPCE342A,508.58
HPCE341A,508.58
HPCE340A,202.01
HPCE323A,79.35
HPCE322A,79.35
HPCE321A,79.35
HPCE320A,83.43
HPCE314A,95.58
HPCE313A,67.19
HPCE312A,67.19
HPCE311A,67.19
HPCE310A,60.41
HPCE285AD,145.28
HPCE285A,80.71
HPCE278AD,166.38
HPCE278A,92.43
HPCE273A,472.51
HPCE272A,472.51
HPCE271A,472.51
HPCE270A,290.35
HPCE265A,24.75
HPCE263A,339.93
HPCE262A,339.93
HPCE261A,339.93
HPCE260X,296.67
HPCE260A,187.56
HPCE255XD,482.06
HPCE255X,267.82
HPCE255A,172.23
HPCE254A,17.23
HPCE253A,312.4
HPCE252A,312.4
HPCE251A,312.4
HPCE250X,230.83
HPCE250A,159.11
HPCD975AE,56.5
HPCD974AE,23.21
HPCD973AE,23.21
HPCD972AE,23.21
HPCC643EE,27.97
HPCC641EE,56.81
HPCC533A,143.19
HPCC532A,143.19
HPCC531A,143.19
HPCC530A,145.29
HPCC364A,202.97
HPCB543A,85.36
HPCB542A,85.36
HPCB541A,85.36
HPCB540AD,167.13
HPCB540A,92.86
HPCB436AD,165.24
HPCB436A,91.81
HPCB435AD,143.81
HPCB435A,79.9
HPCB387A,234.57
HPCB384A,92.02
HPCB382A,342.34
HPCB337E,33.39
HPCB335E,25.59
HPCB320E,13.99
HPCB319E,13.99
HPCB318E,13.99
HPCB317E,14.64
HPCB316E,15.88
HPC9733A,499.35
HPC9732A,499.35
HPC9731A,499.35
HPC9730A,356.1
HPC9454A,97.51
HPC9453A,97.51
HPC9452A,97.51
HPC9451A,97.51
HPC9449A,97.51
HPC9448A,97.51
HPC9404A,82.46
HPC9403A,84.97
HPC9390A,97.51
HPC9384A,89.08
HPC9383A,89.08
HPC9380A,89.08
HPC9374A,84.97
HPC9373A,84.97
HPC9372A,84.97
HPC9371A,84.97
HPC9370A,84.97
HPC9364E,41.4
HPC9363E,70.38
HPC9362E,28.34
HPC9361E,39.93
HPC9352A,34.37
HPC9351A,24.43
HPC8766E,51.52
HPC8765E,42.77
